"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"1",179,235,"B9","639 55 STREET",NA,11220,2,0,3312,1910,510000,2003-01-02,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"2",180,235,"S9","5711 4 AVENUE",NA,11220,4,2,4806,1931,0,2003-01-02,"SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES","MIXED","SUNSET PARK","3"
"3",488,235,"A9","217B 34 STREET",NA,11232,1,0,1260,1910,0,2003-01-03,"MISCELLANEOUS ONE FAMILY","RESIDENTIAL","SUNSET PARK","3"
"4",489,235,"B9","654 47 STREET",NA,11220,2,0,2739,1920,460000,2003-01-03,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"5",490,235,"C0","348 19 STREET",NA,11215,3,0,2397,1910,0,2003-01-03,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"6",491,235,"C1","450 41 STREET",NA,11232,8,0,7980,1907,0,2003-01-03,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"7",1260,235,"C0","539 40 STREET",NA,11232,3,0,3000,1920,0,2003-01-07,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"8",1633,235,"A9","758 52 STREET",NA,11220,1,0,1968,1905,30000,2003-01-08,"MISCELLANEOUS ONE FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9",1634,235,"B9","640 48 STREET",NA,11220,2,0,1824,1910,450000,2003-01-08,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"10",1999,235,"B9","215 29 STREET",NA,11232,2,0,2370,1905,390500,2003-01-09,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"11",2000,235,"B9","327 42 STREET",NA,11232,2,0,2340,1910,265000,2003-01-09,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"12",2001,235,"C0","139 23 STREET",NA,11232,3,0,3600,1899,10,2003-01-09,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"13",2002,235,"K1","512 55 STREET",NA,11220,0,1,360,1931,0,2003-01-09,"ONE STORY RETAIL BUILDING","COMMERCIAL","SUNSET PARK","3"
"14",2433,235,"S2","5711 6 AVENUE",NA,11220,2,1,4032,1910,445000,2003-01-10,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"15",2434,235,"C0","728 44 STREET",NA,11220,3,0,2600,1955,0,2003-01-10,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"16",2435,235,"C3","210 20 STREET","4",11232,4,0,3000,1931,0,2003-01-10,"FOUR FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"17",2749,235,"C0","313 20 STREET",NA,11215,3,0,2412,1905,1e+05,2003-01-12,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"18",2881,235,"B9","213 20 STREET",NA,11232,2,0,1684,1910,0,2003-01-13,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"19",3234,235,"B9","517 62 STREET",NA,11220,2,0,2168,1910,440000,2003-01-14,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"20",3235,235,"S3","5722 6 AVENUE",NA,11220,3,1,4200,1905,550000,2003-01-14,"PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"21",3651,235,"B9","669 48 STREET",NA,11220,2,0,1864,1920,0,2003-01-15,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"22",3652,235,"D7","638 50 STREET",NA,11220,14,1,0,0,0,2003-01-15,"ELEVATOR APT; SEMI-FIREPROOF WITH STORES","RESIDENTIAL","SUNSET PARK","3"
"23",3653,235,"B2","555 61 STREET",NA,11220,2,0,2432,1925,0,2003-01-15,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"24",3654,235,"C0","225 18 STREET",NA,11215,3,0,1776,1899,0,2003-01-15,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"25",3655,235,"C0","341 43 STREET",NA,11232,3,0,2700,1899,0,2003-01-15,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"26",3656,235,"C0","348 53 STREET",NA,11220,3,0,3708,2001,466440,2003-01-15,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"27",3657,235,"C1","426 49 STREET",NA,11220,8,0,6832,1931,0,2003-01-15,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"28",3658,235,"C1","434 49 STREET",NA,11220,8,0,6832,1931,0,2003-01-15,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"29",4120,235,"C7","5201 6 AVENUE","8",11220,7,1,7248,1909,0,2003-01-16,"WALK-UP APT. OVER SIX FAMILIES WITH STORES","RESIDENTIAL","SUNSET PARK","3"
"30",4121,235,"C1","723-25 60 STREET",NA,11220,16,0,14290,1924,8e+05,2003-01-16,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"31",4122,235,"C4","750 39 STREET",NA,11232,4,1,2690,1935,4e+05,2003-01-16,"OLD LAW TENEMENT","RESIDENTIAL","SUNSET PARK","3"
"32",4123,235,"K9","767 65 STREET",NA,11220,0,1,6574,1931,1148000,2003-01-16,"MISCELLANEOUS STORE BUILDING","COMMERCIAL","SUNSET PARK","3"
"33",4124,235,NA,"275 21 STREET",NA,11215,0,0,0,0,2750000,2003-01-16,NA,NA,"SUNSET PARK","3"
"34",4573,235,NA,"629 51 STREET",NA,11220,0,0,0,0,0,2003-01-17,NA,NA,"SUNSET PARK","3"
"35",4574,235,"S2","5214 8 AVENUE",NA,11220,2,1,3196,1915,0,2003-01-17,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"36",4575,235,"B1","182 18 STREET",NA,11215,2,0,1326,1910,1e+05,2003-01-17,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"37",4576,235,"B1","182 18 STREET",NA,11215,2,0,1326,1910,66667,2003-01-17,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"38",4577,235,"B1","182 18 STREET",NA,11215,2,0,1326,1910,1e+05,2003-01-17,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"39",4578,235,"B1","182 18 STREET",NA,11215,2,0,1326,1910,133333,2003-01-17,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"40",4579,235,"C2","214 23 STREET",NA,11232,5,0,4050,1910,0,2003-01-17,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"41",4962,235,"C2","528 40 STREET",NA,11232,6,0,4506,1925,270000,2003-01-20,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"42",5151,235,"C2","4402 7 AVENUE",NA,11220,6,0,5280,1914,0,2003-01-21,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"43",5528,235,"B9","656 49 STREET",NA,11220,2,0,2664,1930,435000,2003-01-22,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"44",5529,235,"B9","750 49 STREET",NA,11220,2,0,3172,1899,0,2003-01-22,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"45",5530,235,"B9","448 62 STREET",NA,11220,2,0,2475,1915,0,2003-01-22,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"46",5531,235,"C0","445 58 STREET",NA,11220,3,0,2880,1910,495000,2003-01-22,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"47",5532,235,"C0","451 60 STREET",NA,11220,3,0,3156,1920,480000,2003-01-22,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"48",6001,235,"B2","261 23 STREET",NA,11215,2,0,1800,1901,245000,2003-01-23,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"49",6002,235,"C3","263 18 STREET",NA,11215,4,0,2850,1931,450000,2003-01-23,"FOUR FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"50",6003,235,"C3","263 18 STREET",NA,11215,4,0,2850,1931,275000,2003-01-23,"FOUR FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"51",6414,235,"B9","459 58 STREET",NA,11220,2,0,2880,1910,0,2003-01-24,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"52",6747,235,"B9","134 30 STREET",NA,11232,2,0,1500,1910,0,2003-01-25,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"53",6912,235,"B9","650 44 STREET",NA,11220,2,0,2970,1910,460000,2003-01-27,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"54",6913,235,"B9","562 46 STREET",NA,11220,2,0,1860,1935,420000,2003-01-27,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"55",6914,235,"B2","357A 20 STREET",NA,11215,2,0,2025,1910,0,2003-01-27,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"56",7679,235,"A1","306 23 STREET",NA,11215,1,0,985,1901,0,2003-01-28,"TWO STORIES - DETACHED SM OR MID","RESIDENTIAL","SUNSET PARK","3"
"57",7680,235,"S1","6012 8 AVENUE",NA,11220,1,1,1920,1957,0,2003-01-28,"PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"58",7681,235,"S2","5702 5 AVENUE",NA,11220,2,1,4437,1931,0,2003-01-28,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"59",8095,235,"B9","467 45 STREET",NA,11220,2,0,3300,1899,490000,2003-01-29,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"60",8096,235,"C1","336 54 STREET","8",11220,8,0,7084,1931,395000,2003-01-29,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"61",8590,235,"B9","423 52 STREET",NA,11220,2,0,2232,1899,280000,2003-01-30,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
